Datetime,LOAD_CAPITL_t-21,LOAD_CAPITL_t-22,LOAD_CAPITL_t-23,LOAD_CAPITL_t-24,LOAD_DUNWOD_t-21,LOAD_DUNWOD_t-22,LOAD_DUNWOD_t-23,LOAD_DUNWOD_t-24,LOAD_GENESE_t-17,LOAD_GENESE_t-18,LOAD_GENESE_t-20,LOAD_GENESE_t-21,LOAD_GENESE_t-22,LOAD_GENESE_t-23,LOAD_GENESE_t-24,LOAD_HUD VL_t-20,LOAD_HUD VL_t-21,LOAD_HUD VL_t-24,LOAD_LONGIL_t-13,LOAD_LONGIL_t-17,LOAD_LONGIL_t-18,LOAD_LONGIL_t-19,LOAD_LONGIL_t-20,LOAD_LONGIL_t-21,LOAD_LONGIL_t-22,LOAD_LONGIL_t-23,LOAD_LONGIL_t-24,LOAD_MILLWD_t-15,LOAD_N.Y.C._t-21,LOAD_N.Y.C._t-22,LOAD_N.Y.C._t-23,LOAD_N.Y.C._t-24,temp_CAPITL_t-3,temp_CAPITL_t-9,temp_CAPITL_t-18,temp_CAPITL_t-20,temp_CENTRL_t-3,temp_CENTRL_t-6,temp_CENTRL_t-11,temp_CENTRL_t-21,temp_CENTRL_t-23,temp_CENTRL_t-24,temp_GENESE_t-6,temp_GENESE_t-8,temp_GENESE_t-11,temp_GENESE_t-20,temp_GENESE_t-21,temp_GENESE_t-22,temp_GENESE_t-24,temp_LONGIL_t-18,temp_N.Y.C._t-24,temp_WEST_t-3,temp_WEST_t-6,temp_WEST_t-8,temp_WEST_t-19,temp_WEST_t-20,temp_WEST_t-21,temp_WEST_t-22,temp_WEST_t-23,temp_WEST_t-24,last_24h_mean_DUNWOD_t-17,last_24h_mean_DUNWOD_t-20,last_24h_mean_HUD VL_t-24,last_24h_mean_LONGIL_t-12,is_weekend_0,is_weekend_1
2/11/18,1466.266667,1406.525,1336.083333,1272.65,606.9,610.075,603.65,556.9833332999998,1189.316667,1238.833333,1255.858333,1213.658333,1162.15,1101.433333,1036.641667,1216.583333,1186.341667,1016.283333,2173.241667,2297.908333,2430.908333,2488.658333,2416.291667,2346.0,2252.916667,2122.875,1968.758333,442.60833330000014,5792.35,5639.1,5442.5333329999985,5171.5916670000015,-3.0,-2.5,1.0,2.666666667,-1.1,-0.6,0.6,4.4,0.6,-1.1,-0.6,-0.6,0.6,5.0,4.4,1.7,-1.1,11.0,7.8,-3.3,-2.2,-1.0,-1.1,-1.0,-1.1,-2.2,-2.2,-2.8,561.53125,550.5572917000002,1094.785069,2256.161657,0,1
2/12/18,1522.7,1434.491667,1331.708333,1251.958333,686.9083333,655.825,612.2,550.9833332999998,1112.325,1192.508333,1229.033333,1197.133333,1141.958333,1069.975,1011.108333,1253.108333,1206.116667,971.4083333,2221.708333,2321.725,2478.225,2517.066667,2445.0,2353.908333,2232.033333,2058.708333,1881.716667,361.0583333,5734.175,5557.391667,5304.75,4990.25,2.0,0.153846154,-2.0,-1.0,-2.2,-2.2,-3.3,5.6,7.2,7.8,-2.2,-2.8,-3.3,4.4,5.6,6.7,7.8,9.5,13.9,-3.3,-3.3,-3.0,1.7,4.0,2.2,1.1,2.2,1.1,592.7784722,603.8697917000002,1075.883333,2036.60625,1,0
2/13/18,1610.725,1529.883333,1428.308333,1328.966667,734.3166667,698.425,647.825,578.825,1262.425,1310.7,1365.533333,1324.933333,1254.741667,1169.275,1103.333333,1298.65,1277.25,1057.933333,2411.033333,2357.3,2561.675,2746.375,2719.033333,2652.516667000001,2522.5,2322.85,2115.758333,331.6083333,6278.366667,6074.1583329999985,5736.075,5349.258333,0.0,-0.375,-0.9375,2.0,4.4,1.7,-1.7,-1.1,-2.2,-3.3,1.7,-0.6,-1.7,-0.6,-1.1,-1.7,-3.3,3.0,6.1,0.0,-2.2,-2.0,-3.3,-2.0,-2.2,-3.9,-3.9,-5.0,631.7826388999998,635.25625,1088.479861,2115.401736,1,0
2/14/18,1628.158333,1552.158333,1446.458333,1339.408333,745.3916667000003,706.9666667,648.0916667,586.3916667000002,1250.7,1299.4,1346.85,1307.625,1246.066667,1161.858333,1085.275,1335.083333,1306.391667,1087.45,2197.775,2402.466667,2620.858333,2813.908333,2778.708333,2700.191667,2561.625,2355.9,2138.366667,347.2,6457.791667,6203.041667,5838.216667000002,5425.025,-3.25,-7.0,-4.0,-1.0,-4.4,-5.0,-6.1,-0.6,-1.7,0.0,-5.0,-5.6,-6.1,-2.2,-0.6,-0.6,0.0,1.0,0.0,-5.6,-9.4,-10.6,-2.8,-1.0,-0.6,-1.1,-1.7,-2.2,647.8295138999998,649.7503472,1128.907639,2288.4527780000008,1,0
2/15/18,1519.458333,1444.158333,1340.625,1243.583333,683.3333332999998,653.9333333,599.2333332999998,544.5916667,1147.316667,1192.908333,1256.9,1228.466667,1166.333333,1087.866667,1024.75,1259.458333,1237.083333,1017.216667,2104.516667000001,2287.041667,2478.6,2640.591667,2603.25,2519.733333,2396.066667,2195.491667,1989.308333,333.7,6082.325,5850.05,5508.925,5140.5916670000015,-6.25,-4.5,2.0,7.0,0.6,0.0,1.1,10.0,8.3,5.6,0.0,1.1,1.1,10.0,10.0,10.0,5.6,8.0,10.6,-2.8,-1.7,1.0,3.9,5.0,5.0,4.4,3.3,2.2,639.3053571,633.0772321000002,1132.6243060000004,2255.705159,1,0
2/16/18,1489.858333,1398.825,1296.391667,1208.666667,674.0416667000002,631.3166667,582.3333332999998,527.5333333000002,1166.65,1211.591667,1224.858333,1188.191667,1120.908333,1039.225,976.3833333,1222.725,1189.45,963.2166667,2184.516667000001,2324.541667,2442.883333,2597.991667,2549.191667,2466.258333,2326.666667,2131.45,1929.175,301.5083333,5977.483333,5747.675,5411.0,5070.991667,5.947368421,4.684210526,5.0,11.0,0.0,-1.1,2.8,13.9,12.8,13.3,-1.1,1.1,2.8,15.0,13.9,13.9,13.3,10.0,15.0,1.7,3.9,6.0,7.8,7.2,6.7,8.3,7.8,7.2,599.9430556,597.9184028,1067.709722,2146.7965280000008,1,0
2/17/18,1483.791667,1421.141667,1352.591667,1272.016667,693.325,661.475,623.1583333,578.0916667,1181.641667,1220.408333,1272.7,1239.341667,1185.65,1118.908333,1047.233333,1225.35,1193.241667,1028.675,2211.808333,2329.958333,2463.291667,2544.55,2502.908333,2444.591667,2343.983333,2203.75,2049.016667000001,313.0166667,5896.45,5712.808333,5476.1,5192.891667,6.857142857,6.428571429,5.4,4.2,12.2,10.6,4.4,1.7,0.6,-1.1,10.6,7.2,4.4,1.7,1.7,2.2,-1.1,15.0,7.2,5.6,5.6,4.0,1.7,1.7,1.7,0.6,-1.1,-1.7,607.5543651,610.7133928999998,1060.377827,2109.770585,0,1
2/18/18,1476.758333,1424.416667,1351.666667,1262.266667,705.1083332999997,682.6916667,643.9,603.4,1147.458333,1189.566667,1195.55,1165.008333,1122.0,1066.425,1003.383333,1271.008333,1238.908333,1058.291667,1993.716667,2348.966667,2484.516667000001,2557.0,2504.216667,2435.191667,2347.4,2228.783333,2071.9,332.5583333,5786.508333,5670.583333,5488.275,5244.208333,1.0,1.0,1.0,1.0,-3.3,-5.0,-6.7,0.0,0.6,0.0,-5.0,-7.2,-6.7,0.0,0.0,1.1,0.0,2.0,2.8,-3.9,-5.0,-6.1,-1.7,-1.0,-1.1,-1.1,-1.1,-1.7,612.9493056,612.6677083,1078.882292,2120.053472,0,1
2/19/18,1463.975,1395.721429,1321.258333,1241.8,666.0666667,650.45,617.7,578.6666667000002,1106.875,1159.041667,1225.7,1190.591667,1139.857143,1078.683333,1026.116667,1218.066667,1182.391667,1027.533333,1995.683333,2068.716667,2267.783333,2445.408333,2427.991667,2371.025,2282.5857140000007,2173.333333,2036.625,304.9083333000001,5623.258333,5495.907143,5322.95,5058.516667,0.111111111,0.7777777779999999,1.777777778,2.0,-1.1,-1.7,-1.1,1.7,2.2,0.0,-1.7,-1.7,-1.1,1.7,1.7,2.8,0.0,6.0,5.6,-1.1,-2.2,-2.0,0.6,1.0,1.1,1.1,0.6,0.0,601.4055556,595.2013889,1047.077629,2083.224653,1,0
2/20/18,1482.958333,1394.633333,1294.908333,1200.008333,707.3166667,672.1416667000002,622.0,571.025,1227.308333,1264.591667,1250.425,1210.333333,1140.758333,1061.783333,981.0333333,1296.0,1240.683333,1003.991667,2157.025,2352.116667,2496.375,2547.391667000001,2477.191667,2381.258333,2258.075,2081.116667,1908.1916670000005,350.3833333,5764.308333,5605.258333,5331.991667,4988.258333,-2.0,0.0,2.857142857,3.428571429,-3.3,-2.2,2.8,5.6,5.0,5.6,-2.2,-1.1,2.8,5.6,5.6,5.6,5.6,9.0,7.8,-1.7,-1.1,0.0,8.9,8.9,8.9,8.9,10.0,10.0,614.0409722,619.2763888999998,1121.24504,2045.092758,1,0
