Datetime,LOAD_CAPITL_t-22,LOAD_CAPITL_t-23,LOAD_CAPITL_t-24,LOAD_CENTRL_t-23,LOAD_CENTRL_t-24,LOAD_DUNWOD_t-24,LOAD_GENESE_t-22,LOAD_GENESE_t-23,LOAD_GENESE_t-24,LOAD_LONGIL_t-18,LOAD_LONGIL_t-19,LOAD_LONGIL_t-20,LOAD_LONGIL_t-21,LOAD_LONGIL_t-22,LOAD_LONGIL_t-23,LOAD_LONGIL_t-24,LOAD_MHK VL_t-24,LOAD_N.Y.C._t-22,LOAD_N.Y.C._t-23,LOAD_N.Y.C._t-24,temp_GENESE_t-24,temp_WEST_t-23,last_week_mean_LONGIL_t-21,is_weekend_0,is_weekend_1
2/18/18,1424.416667,1351.666667,1262.266667,1856.733333,1775.7583329999998,603.4,1122.0,1066.425,1003.383333,2484.516667000001,2557.0,2504.216667,2435.191667,2347.4,2228.783333,2071.9,899.8,5670.583333,5488.275,5244.208333,0.0,-1.1,2152.918013,0,1
2/19/18,1395.721429,1321.258333,1241.8,1855.283333,1760.641667,578.6666667000002,1139.857143,1078.683333,1026.116667,2267.783333,2445.408333,2427.991667,2371.025,2282.5857140000007,2173.333333,2036.625,910.5583332999997,5495.907143,5322.95,5058.516667,0.0,0.6,2149.747973,1,0
2/20/18,1394.633333,1294.908333,1200.008333,1812.9,1699.75,571.025,1140.758333,1061.783333,981.0333333,2496.375,2547.391667000001,2477.191667,2381.258333,2258.075,2081.116667,1908.1916670000005,866.3416667000001,5605.258333,5331.991667,4988.258333,5.6,10.0,2142.895203,1,0
2/21/18,1320.816667,1229.633333,1141.441667,1661.966667,1562.833333,535.7083333,1085.325,1005.883333,946.6083333,2286.883333,2446.525,2424.3,2341.108333,2216.808333,2045.875,1866.766667,840.4,5647.575,5323.925,4967.333333,18.9,16.1,2106.855334,1,0
2/22/18,1306.566667,1216.075,1138.925,1725.7083329999994,1660.725,530.8166666999998,1145.8,1076.866667,1003.791667,2264.783333,2435.816667,2402.225,2324.141667000001,2196.441667,2015.016667,1836.708333,825.3166667,5669.275,5313.15,4919.15,4.4,3.9,2076.971561,1,0
2/23/18,1448.925,1365.691667,1276.533333,1873.341667,1768.45,585.6916667,1178.858333,1104.65,1032.066667,2564.5,2629.125,2594.016667000001,2511.208333,2383.6,2210.391667000001,2029.208333,889.175,5817.5,5519.891667,5166.208333,0.0,2.2,2071.518635000001,1,0
2/24/18,1419.0,1336.958333,1245.75,1801.875,1687.483333,607.6333333,1096.866667,1027.066667,963.0,2551.75,2624.125,2555.064286,2459.5,2342.25,2195.266667000001,2034.175,906.55,5762.233333,5495.9083329999985,5176.0916670000015,5.0,10.6,2088.214978,0,1
2/25/18,1332.808333,1261.842857,1203.8,1759.592857,1674.841667,569.2166667,1087.833333,1026.642857,977.3666667,2305.775,2376.516667000001,2321.883333,2260.933333,2185.95,2062.721429,1927.05,834.4583332999997,5384.075,5196.971429,4975.916667,2.8,3.3,2076.004810000001,0,1
2/26/18,1339.208333,1249.466667,1165.383333,1703.6833329999995,1612.433333,572.1833333,1091.733333,1022.2,969.2916667000003,2403.775,2501.266667000001,2465.666667,2375.4,2254.233333,2090.425,1907.416667,828.8166667,5503.341667000002,5260.7,4943.433333,8.9,2.8,2079.236336,1,0
2/27/18,1392.958333,1305.766667,1210.583333,1847.158333,1728.9333329999995,580.575,1171.141667,1086.808333,1015.75,2413.841667,2597.0,2581.141667000001,2514.958333,2389.508333,2183.875,1990.458333,879.8416667000001,5795.425,5463.333333,5066.6,5.6,2.8,2078.341502,1,0
2/28/18,1376.716667,1275.025,1188.358333,1767.7083329999994,1665.708333,575.55,1126.4,1045.45,977.3333332999997,2320.8,2540.9,2542.341667,2476.908333,2350.933333,2148.5,1959.341667,866.1166667000001,5744.475,5409.225,5022.166667,10.0,10.6,2085.238774,1,0
3/1/18,1317.191667,1217.916667,1125.85,1681.8,1576.016667,553.1916667,1104.016667,1020.975,951.5583332999997,2284.716667,2508.341667,2492.716667,2424.933333,2290.183333,2089.041667,1883.591667,791.4416667,5627.008333,5290.066667,4919.825,10.0,8.3,2090.498146,1,0
3/2/18,1349.0,1248.333333,1154.675,1823.366667,1717.9916670000002,569.9916667,1167.058333,1105.066667,1036.225,2365.175,2497.291667,2475.933333,2393.916667,2276.141667000001,2082.7,1897.733333,781.2666667000003,5641.45,5337.05,4969.8,2.2,1.7,2080.33306,1,0
3/3/18,1354.908333,1275.408333,1191.125,1841.541667,1735.766667,571.125,1143.591667,1069.508333,1002.7,2666.091667,2721.541667,2661.491667,2574.991667,2450.691667,2279.425,2095.466667,832.775,6044.058333,5730.6583329999985,5399.05,-1.1,0.6,2083.34697,0,1
3/4/18,1333.758333,1258.125,1192.208333,1789.033333,1706.2583329999998,544.8916667000002,1085.408333,1032.675,977.2,2349.941667,2483.833333,2443.075,2375.058333,2297.725,2173.741667,2023.225,850.1083332999997,5592.833333,5403.508333,5164.991667,0.6,1.7,2096.24454,0,1
3/5/18,1361.208333,1268.891667,1183.266667,1842.916667,1756.5583329999995,548.0083333,1124.633333,1063.466667,996.6583333,2369.025,2536.116667,2532.2,2481.157143,2374.116667,2209.333333,2036.325,848.125,5739.841667000002,5481.8416670000015,5195.608333,-2.2,-0.6,2097.1026890000007,1,0
3/6/18,1415.391667,1304.458333,1201.516667,1864.05,1785.6833329999995,588.8666667,1193.408333,1111.608333,1033.625,2568.325,2755.866667,2747.741667,2659.728571,2514.15,2297.208333,2097.575,896.2083332999997,6051.458333,5659.241667,5261.7166670000015,-1.7,1.1,2117.774394,1,0
3/7/18,1369.366667,1265.183333,1173.533333,1855.533333,1744.4916670000002,587.4833332999998,1173.675,1087.508333,1008.008333,2385.466667,2619.866667,2632.658333,2572.391667000001,2446.558333,2242.9,2051.141667000001,855.8916667000003,5931.841667000002,5613.175,5227.991667,4.4,1.1,2128.964312,1,0
3/8/18,1391.958333,1290.45,1202.25,1877.6,1768.575,568.575,1185.083333,1101.058333,1020.258333,2763.816667,2809.733333,2721.35,2612.15,2461.8,2260.516667000001,2069.733333,845.9,6148.575,5810.333333,5409.941667,0.6,1.7,2173.598236,1,0
3/9/18,1417.541667,1315.475,1222.425,1917.116667,1817.383333,590.1583333,1215.116667,1124.383333,1056.941667,2565.208333,2725.525,2703.008333,2621.05,2489.95,2288.05,2089.275,915.8166667000003,6059.125,5732.316667,5358.2833329999985,-2.2,-2.2,2202.797486,1,0
3/10/18,1387.666667,1308.475,1229.908333,1878.991667,1785.9,612.3333332999998,1183.841667,1116.358333,1047.166667,2456.833333,2638.666667,2632.35,2556.783333,2461.858333,2311.683333,2139.233333,904.8666667,5972.808333,5696.7,5381.0916670000015,-0.6,-0.6,2201.739996,0,1
3/11/18,1352.125,1280.975,1208.15,1809.875,1718.391667,591.6416667000002,1106.041667,1045.175,986.8833333,2365.125,2518.908333,2485.35,2432.992857,2355.95,2227.85,2085.391667000001,835.6916667,5695.708333,5498.091667000002,5221.275,-1.1,0.0,2205.414953,0,1
3/12/18,1382.125,1289.691667,1197.533333,1902.616667,1802.408333,574.4333333,1131.633333,1067.808333,1003.733333,2041.783333,2187.875,2384.841667,2435.083333,2361.358333,2207.05,2033.775,842.725,5656.366667,5454.775,5128.066667,-0.6,-1.1,2195.958324,1,0
3/13/18,1411.333333,1311.008333,1209.933333,1905.966667,1763.466667,586.2,1216.658333,1131.483333,1050.883333,2376.608333,2507.533333,2635.291667,2589.292857,2492.125,2301.591667,2104.133333,918.4166667000003,6042.216667000002,5712.666667,5320.35,0.0,-1.1,2185.692692,1,0
3/14/18,1456.908333,1349.091667,1254.6,1963.583333,1828.641667,617.025,1214.408333,1135.391667,1065.183333,2491.6,2559.85,2688.6,2677.75,2555.625,2358.116667,2144.591667,921.7416667,6158.575,5814.841667000002,5403.083333,-0.6,-0.6,2206.731631,1,0
3/15/18,1458.716667,1349.285714,1247.2,1995.421429,1863.9416670000005,610.8916667000002,1238.491667,1159.707143,1075.125,2399.516667000001,2556.007143,2678.25,2657.15,2562.016667000001,2357.242857,2154.891667000001,931.3416667,6163.016667,5846.457143,5443.241667,-1.7,-1.7,2193.276952,1,0
